meta_ad_id,audit_creative_signature,final_classification,final_manual_category
1382063520621700,9703ffff57188e684dfcf308666b51058199f39051d5b5f2437468e79304f055,commercial,commercial_or_insufficient_evidence
2199338003937299,9703ffff57188e684dfcf308666b51058199f39051d5b5f2437468e79304f055,commercial,commercial_or_insufficient_evidence
929818499416933,48a7bc0f567ed02f3f765b98a6b38d7eb840287cd7557f7877e1a1f13ee8c10e,commercial,commercial_or_insufficient_evidence
905735395420277,6f0111680ceb8855b1af9c0d4d528ae3e69206c926e89f80692e0ae632ac2df0,commercial,sustainability_brand
934736198958864,04165ed1647173ce61503533e7725f1a5ea8141686fc4353a8a17675fae91875,commercial,commercial_or_insufficient_evidence
1857386691618494,34030cebaf5758f7be6d4e345967eb6ced14119cae4a1b08379be21644934598,commercial,commercial_or_insufficient_evidence
2430717777366477,c98dc165ea90db51e8de21a570625153f27123d19ded65b0726e423826adcca4,commercial,commercial_or_insufficient_evidence
26454781130773686,34030cebaf5758f7be6d4e345967eb6ced14119cae4a1b08379be21644934598,commercial,commercial_or_insufficient_evidence
1373556904541127,c98dc165ea90db51e8de21a570625153f27123d19ded65b0726e423826adcca4,commercial,commercial_or_insufficient_evidence
1138758244946693,f6dbe2c79e6c694598cd4e8c77c14b5012230bcc332829dfb2da5dfb529a227f,commercial,commercial_or_insufficient_evidence
1237187574623042,f6dbe2c79e6c694598cd4e8c77c14b5012230bcc332829dfb2da5dfb529a227f,commercial,commercial_or_insufficient_evidence
1450595953362962,1961436915ceaacfde80d4e58d139fa1573837aaa3badcc60bfe30832047ba2f,commercial,commercial_or_insufficient_evidence
1476988950511792,f6dbe2c79e6c694598cd4e8c77c14b5012230bcc332829dfb2da5dfb529a227f,commercial,commercial_or_insufficient_evidence
1638385200628635,f6dbe2c79e6c694598cd4e8c77c14b5012230bcc332829dfb2da5dfb529a227f,commercial,commercial_or_insufficient_evidence
1688487539186812,1961436915ceaacfde80d4e58d139fa1573837aaa3badcc60bfe30832047ba2f,commercial,commercial_or_insufficient_evidence
2068954107007970,f6dbe2c79e6c694598cd4e8c77c14b5012230bcc332829dfb2da5dfb529a227f,commercial,commercial_or_insufficient_evidence
2169648557131100,f6dbe2c79e6c694598cd4e8c77c14b5012230bcc332829dfb2da5dfb529a227f,commercial,commercial_or_insufficient_evidence
2586414351740190,35811284ef733617011a498d2c56fa121d5eb8af259461878dd3d42e85227e31,commercial,commercial_or_insufficient_evidence
770327212813403,0f38a6f77b720a3d280adc124e30c004b174939b049f4f9b18af2dbd58019154,commercial,commercial_or_insufficient_evidence
1478747216957251,38cdaa5a78c1c3c82e19827f9f42341210a087ffbe328789a0f213db856c050c,commercial,commercial_or_insufficient_evidence
1804352990275154,71dca04c7e7062bcc3cf937ae1f2691a6d69ab66889ceddb0c96f611581367f4,commercial,commercial_or_insufficient_evidence
1233880898723331,a5d86496bcae44cdd295726dbfd32ce9468cf47152dbe51082cc0d7d9e56f85f,commercial,commercial_or_insufficient_evidence
937799688927780,479e53f0326489159790c5bda4a0facd5a4b1d48d5917dd385dc51c3283e3fdc,commercial,commercial_or_insufficient_evidence
1403309000963168,5d813d9a1ca407401e9b4e6345efa72e8d90e31d97a9291642bdd7da7a08a499,commercial,commercial_or_insufficient_evidence
