creative_signature_hash,target_gender,target_ages,platform_category,search_brand,sector,age_scope,configuration_ad_id_count,de_male,de_female,de_unknown,de_age_13_17,de_age_18_24,de_age_25_34,de_age_35_44,de_age_45_54,de_age_55_64,de_age_65_plus,de_age_unknown,known_gender_reach,known_adult_reach,female_delivery_share,adult_18_34_share,gender_data_usable,age_data_usable,has_unknown_gender,has_unknown_age
00636dc1c07dc5220b3c3a8f2b7c3ba9cac71530237c15448b124b4643fe7dfe,All,"[""18"",""65""]",Both,Zara,fashion,Broad,2,2932.0,30466.0,1579.0,0.0,525.0,12834.0,15730.0,2571.0,2070.0,1247.0,0.0,33398.0,34977.0,0.9122103119947302,0.38193670126082857,1,1,1.0,0.0
00649690189af07805feb24c16640559e79456598ca335905f9a7d05415b3d0e,All,"[""20"",""65""]",Both,Bauhaus,home,Narrow,1,35668.0,9262.0,574.0,0.0,709.0,5255.0,9274.0,8700.0,11546.0,10020.0,0.0,44930.0,45504.0,0.20614288893834853,0.13106540084388185,1,1,1.0,0.0
0064fa80bb2aead98f4f86fa93993a1b0361919ef5d2316c28ec2034abaa21ba,All,"[""18"",""65""]",Other,About You,fashion,Broad,3,1224818.0,5803895.0,201745.0,0.0,714451.0,2514221.0,2287247.0,1095970.0,473354.0,143012.0,2203.0,7028713.0,7228255.0,0.8257407864000138,0.4466737822614172,1,1,1.0,1.0
006727da9fe95ee5caa536a7a91294af8061da7a6f6bad99de3b563bd3f1dd65,All,"[""18"",""44""]",Both,Aldi Nord,grocery,Narrow,1,278366.0,401272.0,40355.0,0.0,73918.0,236588.0,409476.0,0.0,0.0,0.0,11.0,679638.0,719982.0,0.5904201942798961,0.43126911506120985,1,1,1.0,1.0
006b207cb597d460ddef2feae8d0e2039246ff5858463f91609ec641e2ffffb4,All,"[""18"",""49""]",Other,Aldi Süd,grocery,Narrow,1,889929.0,421929.0,134583.0,0.0,327485.0,610357.0,372921.0,135657.0,0.0,0.0,21.0,1311858.0,1446420.0,0.3216270358529658,0.648388434894429,1,1,1.0,1.0
006b6c6402c1897b0a7d0f3a51b23e6d462eef91913fd48996e0b61b025b97d6,All,"[""18"",""65""]",Instagram-only,Hornbach,home,Broad,1,21340.0,21759.0,1061.0,0.0,22012.0,13580.0,3943.0,2250.0,1662.0,710.0,3.0,43099.0,44157.0,0.5048609016450498,0.8060330185474557,1,1,1.0,1.0
00754c703eecd1742458b8683c66bae0cb45311b7c1abbcbbd5ac06f88743523,All,"[""18"",""65""]",Both,Penny,grocery,Broad,2,22556.0,21157.0,210.0,0.0,1503.0,6931.0,8019.0,8253.0,10244.0,8972.0,1.0,43713.0,43922.0,0.4839978953629355,0.1920222212103274,1,1,1.0,1.0
0079f053cf9ead2965e1b6c4755db787d15115e930e05f87f017c211fcc259d2,All,"[""18"",""65""]",Other,Aldi Süd,grocery,Broad,2,2528360.0,1538660.0,265153.0,0.0,921780.0,1494454.0,812824.0,528479.0,400040.0,174583.0,13.0,4067020.0,4332160.0,0.37832614543326565,0.5577434813118629,1,1,1.0,1.0
007ccf79a66bb8fabada933bf8063e764b0dc1b8fcc541e1dff9d1d568d03f06,All,"[""18"",""65""]",Instagram-only,dm,health_beauty,Broad,1,357554.0,206422.0,149365.0,0.0,208582.0,252025.0,115719.0,69625.0,49207.0,18178.0,5.0,563976.0,713336.0,0.3660120288806616,0.6457083338006213,1,1,1.0,1.0
008059a6c420309f5f4d238fb46c71422083cc01e3942f68826a1e990a2e21e8,All,"[""18"",""55""]",Other,Flaconi,health_beauty,Narrow,3,2487.0,9302.0,677.0,0.0,790.0,4664.0,3981.0,2817.0,214.0,0.0,0.0,11789.0,12466.0,0.7890406310967851,0.4375100272741858,1,1,1.0,0.0
008251bbe64e4a714eb35b0ab37ff1637c956cfb285860559f84a4f7ff91bf74,All,"[""18"",""65""]",Both,Edeka Südwest,grocery,Broad,7,12215.0,11112.0,2569.0,0.0,1208.0,4260.0,4126.0,4356.0,6244.0,5702.0,0.0,23327.0,25896.0,0.4763578685643246,0.2111523015137473,1,1,1.0,0.0
008251bbe64e4a714eb35b0ab37ff1637c956cfb285860559f84a4f7ff91bf74,Men,"[""22"",""64""]",Both,Edeka Südwest,grocery,Narrow,1,486.0,0.0,0.0,0.0,49.0,198.0,114.0,78.0,47.0,0.0,0.0,486.0,486.0,0.0,0.5082304526748971,1,1,0.0,0.0
008251bbe64e4a714eb35b0ab37ff1637c956cfb285860559f84a4f7ff91bf74,Men,"[""27"",""64""]",Both,Edeka Südwest,grocery,Narrow,1,20.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,2.0,0.0,0.0,20.0,20.0,0.0,0.0,1,1,0.0,0.0
008881322ae27ed20ede4380778bc5be3914245dade91ebab1b0cc4e6813f9c6,All,"[""18"",""65""]",Instagram-only,Bauhaus,home,Broad,1,5344.0,1623.0,89.0,0.0,65.0,1627.0,2750.0,1422.0,968.0,223.0,1.0,6967.0,7055.0,0.23295536098751257,0.23982990786676117,1,1,1.0,1.0
009303c5b060f5a999c2858eb903c85a44a7f72798a53df1a9c0b42f3b8dea1e,All,"[""18"",""65""]",Other,Flaconi,health_beauty,Broad,1,283702.0,988124.0,10264.0,0.0,144718.0,432315.0,332397.0,206285.0,120198.0,45987.0,190.0,1271826.0,1281900.0,0.7769333226400467,0.4501388563850534,1,1,1.0,1.0
00938411c20a0be9b4d12f90c5c15ea3fba558cd83745201feeae85d11c77232,All,"[""18"",""65""]",Other,OBI,home,Broad,8,351250.0,298272.0,91894.0,0.0,61046.0,161126.0,169115.0,139438.0,137811.0,72880.0,0.0,649522.0,741416.0,0.4592177016328931,0.2996590308274977,1,1,1.0,0.0
0093ec68c03ce1c1e27faaf22da2603f08893a93ea527ee115bfc05c7c05c94b,All,"[""18"",""65""]",Instagram-only,dm,health_beauty,Broad,1,364710.0,165607.0,207314.0,0.0,204122.0,279668.0,113687.0,65908.0,52845.0,21396.0,5.0,530317.0,737626.0,0.312279259386367,0.6558743862065599,1,1,1.0,1.0
0093ec68c03ce1c1e27faaf22da2603f08893a93ea527ee115bfc05c7c05c94b,Women,"[""18"",""65""]",Instagram-only,dm,health_beauty,Broad,1,0.0,143704.0,0.0,0.0,39644.0,54729.0,21669.0,12783.0,10300.0,4576.0,3.0,143704.0,143701.0,1.0,0.6567316859312043,1,1,0.0,1.0
009bfaea1fb9109675153295f11291c7e81d4f6b36f9043d75b7f3cce9cbf195,All,"[""18"",""65""]",Other,OBI,home,Broad,2,328925.0,56615.0,1936.0,0.0,14677.0,87236.0,124394.0,79445.0,59817.0,21873.0,34.0,385540.0,387442.0,0.1468459822586502,0.26304066156998984,1,1,1.0,1.0
009f83166009e261745bdacfea87cbc9407e6baa91add11ee233fff99c809bc3,All,"[""18"",""55""]",Facebook-only,Rossmann,health_beauty,Narrow,1,39969.0,53327.0,1124.0,0.0,895.0,14967.0,41730.0,33658.0,3170.0,0.0,0.0,93296.0,94420.0,0.5715893500257245,0.1679940690531667,1,1,1.0,0.0
00a1113b8779c2a0982b14baf11f6e4e1ea6ec43f654d520447282d22f8629e4,All,"[""18"",""65""]",Other,Flaconi,health_beauty,Broad,3,197239.0,661398.0,4913.0,0.0,84971.0,232315.0,227855.0,174083.0,103827.0,40493.0,6.0,858637.0,863544.0,0.7702882591828677,0.3674230844056585,1,1,1.0,1.0
00a161d96069d17087a6d9db43e511888235fa3da312c28694fb800314097656,All,"[""18"",""65""]",Both,Edeka Südwest,grocery,Broad,2,15285.0,7785.0,2357.0,0.0,5479.0,8298.0,4365.0,3235.0,2838.0,1212.0,0.0,23070.0,25427.0,0.33745123537061117,0.5418256184370944,1,1,1.0,0.0
00a82690fff227dad4b9ec56152910c435f50af7c681a2d77bd00e0285a33d26,All,"[""20"",""65""]",Both,Bauhaus,home,Narrow,1,34396.0,2519.0,1143.0,0.0,1684.0,6655.0,7557.0,7397.0,9191.0,5574.0,0.0,36915.0,38058.0,0.06823784369497495,0.21911293289190184,1,1,1.0,0.0
00afa6b5647990a467adef3c67261f90ffe7390aecb32f8e039efdec3097bf6f,All,"[""20"",""59""]",Instagram-only,Bauhaus,home,Narrow,1,2709.0,6402.0,43.0,0.0,330.0,2229.0,3104.0,2266.0,1225.0,0.0,0.0,9111.0,9154.0,0.7026671056964109,0.27954992353069696,1,1,1.0,0.0
00bad4f23ca4c775be6f3a278a287a208aaa1ffc59611ea58b05ab0e61fd0f0b,All,"[""18"",""65""]",Other,Douglas,health_beauty,Broad,6,360151.0,219268.0,11143.0,0.0,41902.0,170129.0,157740.0,126718.0,65422.0,28637.0,14.0,579419.0,590548.0,0.3784273556787057,0.3590410940346932,1,1,1.0,1.0
